quantidade_pedido,dia_mes,dia_ehdiautil
1231,24/11,1
548,07/08,1
530,16/05,1
528,15/05,1
519,25/11,1
513,16/08,1
505,06/08,1
503,18/07,1
495,14/05,1
494,01/08,1
493,15/08,1
490,07/05,1
484,14/08,1
482,09/05,1
481,31/07,1
481,03/08,1
472,08/05,1
471,08/08,1
469,02/08,1
450,24/07,1
438,25/07,1
437,21/08,1
437,09/08,1
432,02/05,1
427,17/08,1
427,20/03,1
426,23/07,1
424,11/06,1
422,27/11,1
418,10/08,1
417,03/05,1
417,30/07,1
411,19/07,1
409,05/08,1
407,25/04,1
407,26/11,1
406,20/07,1
406,19/04,1
405,10/05,1
404,24/04,1
403,04/08,1
402,17/07,1
400,13/06,1
400,26/04,1
399,19/06,1
399,15/03,1
398,13/08,1
393,04/07,1
390,04/05,1
390,28/11,1
388,23/04,1
388,21/03,1
385,12/06,1
384,01/05,0
384,01/03,1
382,26/07,1
382,11/05,1
380,18/05,1
379,16/03,1
378,06/03,1
378,28/02,1
377,28/06,1
377,17/05,1
377,06/06,1
375,14/02,1
372,22/03,1
372,19/03,1
371,20/08,1
370,04/04,1
368,05/04,1
368,27/03,1
366,22/05,1
365,21/05,1
365,05/02,1
365,07/02,1
364,02/04,1
364,16/07,1
363,14/06,1
362,11/04,1
361,18/04,1
361,07/06,1
360,27/06,1
359,20/02,1
358,05/06,1
357,06/02,1
356,22/01,1
353,25/06,1
351,26/02,1
350,22/02,1
349,05/07,1
349,15/02,1
348,08/06,1
348,27/02,1
347,18/08,1
346,07/03,1
346,23/03,1
346,13/03,1
346,26/03,1
345,22/08,1
345,17/04,1
344,05/03,1
344,16/04,1
342,03/07,1
342,18/06,1
341,04/12,1
340,02/03,1
338,16/01,1
336,29/11,1
336,04/06,1
336,11/08,1
335,12/05,1
334,28/03,1
333,27/04,1
333,26/01,1
333,12/04,1
332,26/06,1
332,09/04,1
331,31/01,1
331,15/01,1
328,06/05,1
327,27/07,1
327,08/02,1
327,03/04,1
327,30/01,1
326,19/08,1
325,20/06,1
325,08/03,1
324,28/07,1
323,29/05,1
321,22/07,1
321,30/04,1
320,13/07,1
320,17/01,1
320,04/03,1
318,01/06,1
317,21/07,1
317,05/05,1
313,12/08,1
313,23/01,1
312,13/02,1
312,29/07,1
311,21/02,1
311,02/07,1
310,15/06,1
309,20/04,1
309,19/02,1
307,08/01,1
306,01/02,1
306,09/03,1
306,14/03,1
305,12/03,1
305,14/07,1
305,25/01,1
301,23/02,1
301,19/05,1
299,22/04,1
299,11/07,1
296,11/03,1
294,10/04,1
294,24/01,1
294,05/12,1
294,29/01,1
293,18/03,1
293,13/05,1
293,03/06,1
293,09/06,1
292,06/04,1
291,09/02,1
289,25/02,1
288,29/06,1
288,10/01,1
287,03/03,1
287,15/04,1
286,01/12,1
286,12/02,1
286,02/02,1
285,10/03,1
284,18/01,1
284,24/06,1
284,23/11,1
283,11/01,1
282,10/07,1
281,01/04,1
280,10/06,1
280,28/04,1
279,29/03,1
278,25/03,1
278,11/12,1
278,06/07,1
278,06/12,1
277,04/02,1
276,12/07,1
276,21/06,1
276,13/04,1
273,16/06,1
273,02/06,1
271,16/02,1
271,23/06,1
270,22/06,1
270,12/12,1
269,19/01,1
268,23/08,1
267,30/11,1
266,04/01,1
266,23/05,1
265,31/05,1
264,09/01,1
264,12/01,1
263,24/05,1
261,15/07,1
260,08/04,1
259,17/02,1
