quantidade_pedido,media_nota_avaliacao,categoria_produto
10160,3.88,cama_mesa_banho
9021,4.15,beleza_saude
7858,4.13,esporte_lazer
6887,3.98,informatica_acessorios
6781,3.95,moveis_decoracao
6019,4.1,utilidades_domesticas
5799,4.01,relogios_presentes
4287,3.95,telefonia
3991,4.06,automotivo
3979,4.15,brinquedos
3658,4.13,cool_stuff
3607,4.1,ferramentas_jardim
3242,4.17,perfumaria
2933,4,bebes
2565,4.06,eletronicos
2381,4.2,papelaria
1979,4.13,fashion_bolsas_e_acessorios
1772,4.18,pet_shop
1460,3.88,NULL
1303,3.57,moveis_escritorio
1080,4.02,consoles_games
1051,4.32,malas_acessorios
783,4.04,construcao_ferramentas_construcao
764,4.15,eletrodomesticos
636,4.13,instrumentos_musicais
632,4.13,eletroportateis
530,4.41,livros_interesse_geral
501,3.92,casa_construcao
453,4.22,alimentos
430,3.96,moveis_sala
406,3.84,casa_conforto
350,3.8,audio
302,4.14,bebidas
284,4,market_place
264,4.32,livros_tecnicos
259,4.17,fashion_calcados
254,3.97,climatizacao
248,4.02,moveis_cozinha_servico_jantar_jardim
247,4.06,construcao_ferramentas_iluminacao
241,4.17,industria_comercio_e_negocios
234,4.1,eletrodomesticos_2
234,4.38,alimentos_bebidas
217,3.85,telefonia_fixa
212,4.08,construcao_ferramentas_jardim
202,3.99,artes
183,4.03,agro_industria_e_comercio
181,4.1,pcs
169,3.84,construcao_ferramentas_seguranca
143,4.03,sinalizacao_e_seguranca
130,3.97,artigos_de_natal
123,3.61,fashion_roupa_masculina
122,3.91,fashion_underwear_e_moda_praia
97,4.29,construcao_ferramentas_ferramentas
95,4.14,moveis_quarto
79,4.05,tablets_impressao_imagem
76,4.3,portateis_casa_forno_e_cafe
66,4.18,cine_foto
62,4.06,dvds_blu_ray
59,4.39,livros_importados
40,3.75,fashion_roupa_feminina
39,4,artigos_de_festas
38,3.82,moveis_colchao_e_estofado
38,4.21,musica
29,4.24,flores
27,4.26,fashion_esporte
27,3.74,fraldas_higiene
24,3.67,casa_conforto_2
24,4.12,artes_e_artesanato
14,3.43,portateis_cozinha_e_preparadores_de_alimentos
13,3.92,la_cuisine
12,4.67,cds_dvds_musicais
8,4.5,fashion_roupa_infanto_juvenil
8,3.12,pc_gamer
2,2.5,seguros_e_servicos
