quantidade_pedido,estado_sigla,tipo_pagamento
55029,SP,credit_card
14512,SP,boleto
6131,MG,credit_card
5984,PR,credit_card
3525,RJ,credit_card
2837,SC,credit_card
2153,SP,voucher
1618,MG,boleto
1598,PR,boleto
1532,RS,credit_card
1162,SP,debit_card
758,SC,boleto
722,RJ,boleto
642,DF,credit_card
444,BA,credit_card
406,RS,boleto
372,GO,credit_card
318,MA,credit_card
272,PE,credit_card
253,MG,voucher
243,ES,credit_card
170,PR,voucher
157,DF,boleto
121,MT,credit_card
120,MG,debit_card
120,PR,debit_card
117,PE,boleto
105,SC,voucher
96,BA,boleto
89,GO,boleto
80,RJ,voucher
73,ES,boleto
73,MA,boleto
65,RJ,debit_card
63,CE,credit_card
50,SC,debit_card
45,RS,voucher
38,MS,credit_card
38,RN,credit_card
30,PB,credit_card
25,DF,voucher
22,RS,debit_card
22,CE,boleto
20,MT,boleto
17,BA,voucher
14,RO,credit_card
12,GO,voucher
12,PE,voucher
11,BA,debit_card
10,RN,boleto
10,PI,credit_card
9,SE,credit_card
9,MS,boleto
8,PA,credit_card
7,GO,debit_card
6,DF,debit_card
6,ES,debit_card
5,PB,boleto
4,ES,voucher
4,PE,debit_card
4,MA,voucher
3,RN,debit_card
3,CE,voucher
3,MA,debit_card
3,AM,credit_card
3,PB,voucher
2,CE,debit_card
2,SE,boleto
2,MS,voucher
1,PI,debit_card
1,RO,boleto
1,RN,voucher
1,AC,credit_card
1,MS,debit_card
