quantidade_pedido,categoria_produto,estacoe
3104,cama_mesa_banho,OUTONO
2858,cama_mesa_banho,INVERNO
2847,beleza_saude,OUTONO
2736,beleza_saude,INVERNO
2308,cama_mesa_banho,VERAO
2226,esporte_lazer,OUTONO
2137,informatica_acessorios,VERAO
2109,esporte_lazer,INVERNO
2091,utilidades_domesticas,OUTONO
2069,informatica_acessorios,OUTONO
2057,beleza_saude,VERAO
2018,moveis_decoracao,OUTONO
2014,esporte_lazer,VERAO
1969,utilidades_domesticas,INVERNO
1915,relogios_presentes,OUTONO
1890,cama_mesa_banho,PRIMAVERA
1785,moveis_decoracao,VERAO
1729,moveis_decoracao,INVERNO
1678,informatica_acessorios,INVERNO
1637,relogios_presentes,INVERNO
1509,esporte_lazer,PRIMAVERA
1381,beleza_saude,PRIMAVERA
1354,telefonia,OUTONO
1279,automotivo,OUTONO
1249,brinquedos,PRIMAVERA
1249,moveis_decoracao,PRIMAVERA
1161,telefonia,VERAO
1129,relogios_presentes,VERAO
1124,utilidades_domesticas,VERAO
1118,relogios_presentes,PRIMAVERA
1115,automotivo,INVERNO
1097,brinquedos,OUTONO
1073,cool_stuff,OUTONO
1014,ferramentas_jardim,OUTONO
1003,informatica_acessorios,PRIMAVERA
966,brinquedos,INVERNO
949,telefonia,INVERNO
948,perfumaria,OUTONO
942,automotivo,VERAO
940,cool_stuff,INVERNO
926,bebes,OUTONO
900,ferramentas_jardim,PRIMAVERA
871,eletronicos,VERAO
867,bebes,INVERNO
863,ferramentas_jardim,INVERNO
839,cool_stuff,VERAO
835,utilidades_domesticas,PRIMAVERA
830,ferramentas_jardim,VERAO
823,telefonia,PRIMAVERA
806,cool_stuff,PRIMAVERA
804,perfumaria,INVERNO
783,eletronicos,OUTONO
759,perfumaria,PRIMAVERA
738,papelaria,VERAO
731,perfumaria,VERAO
667,brinquedos,VERAO
655,automotivo,PRIMAVERA
636,bebes,VERAO
625,pet_shop,OUTONO
594,papelaria,OUTONO
594,pet_shop,INVERNO
588,papelaria,INVERNO
586,fashion_bolsas_e_acessorios,OUTONO
520,NULL,VERAO
513,eletronicos,INVERNO
504,bebes,PRIMAVERA
500,fashion_bolsas_e_acessorios,INVERNO
461,papelaria,PRIMAVERA
448,fashion_bolsas_e_acessorios,VERAO
445,fashion_bolsas_e_acessorios,PRIMAVERA
413,moveis_escritorio,OUTONO
398,eletronicos,PRIMAVERA
393,moveis_escritorio,VERAO
390,NULL,OUTONO
333,consoles_games,PRIMAVERA
328,pet_shop,VERAO
324,malas_acessorios,OUTONO
311,eletrodomesticos,OUTONO
303,malas_acessorios,INVERNO
301,consoles_games,INVERNO
295,moveis_escritorio,INVERNO
291,construcao_ferramentas_construcao,INVERNO
281,NULL,PRIMAVERA
271,eletrodomesticos,INVERNO
269,NULL,INVERNO
267,construcao_ferramentas_construcao,OUTONO
261,malas_acessorios,VERAO
242,consoles_games,VERAO
225,pet_shop,PRIMAVERA
220,instrumentos_musicais,OUTONO
207,eletroportateis,OUTONO
205,casa_construcao,OUTONO
204,consoles_games,OUTONO
202,moveis_escritorio,PRIMAVERA
191,alimentos,INVERNO
186,livros_interesse_geral,OUTONO
173,eletroportateis,INVERNO
165,instrumentos_musicais,INVERNO
163,malas_acessorios,PRIMAVERA
160,eletroportateis,VERAO
157,moveis_sala,INVERNO
153,construcao_ferramentas_construcao,VERAO
144,instrumentos_musicais,VERAO
140,livros_interesse_geral,VERAO
133,eletrodomesticos,VERAO
133,casa_conforto,INVERNO
131,casa_construcao,INVERNO
128,livros_interesse_geral,INVERNO
124,casa_conforto,OUTONO
120,industria_comercio_e_negocios,OUTONO
119,alimentos,OUTONO
118,moveis_sala,OUTONO
114,livros_tecnicos,OUTONO
112,construcao_ferramentas_iluminacao,INVERNO
110,audio,OUTONO
107,instrumentos_musicais,PRIMAVERA
106,alimentos,VERAO
102,fashion_calcados,OUTONO
101,bebidas,OUTONO
100,construcao_ferramentas_iluminacao,OUTONO
100,artes,OUTONO
95,market_place,OUTONO
94,bebidas,VERAO
92,eletroportateis,PRIMAVERA
90,moveis_sala,VERAO
89,climatizacao,OUTONO
88,casa_conforto,PRIMAVERA
86,casa_construcao,VERAO
85,pcs,INVERNO
82,audio,PRIMAVERA
82,audio,INVERNO
81,market_place,VERAO
79,eletrodomesticos_2,OUTONO
79,casa_construcao,PRIMAVERA
78,livros_tecnicos,INVERNO
76,livros_interesse_geral,PRIMAVERA
76,audio,VERAO
74,eletrodomesticos_2,INVERNO
73,moveis_cozinha_servico_jantar_jardim,INVERNO
73,telefonia_fixa,VERAO
72,construcao_ferramentas_construcao,PRIMAVERA
71,telefonia_fixa,OUTONO
70,moveis_cozinha_servico_jantar_jardim,OUTONO
70,climatizacao,VERAO
66,construcao_ferramentas_jardim,INVERNO
66,agro_industria_e_comercio,VERAO
65,construcao_ferramentas_seguranca,OUTONO
65,moveis_sala,PRIMAVERA
65,fashion_calcados,INVERNO
64,market_place,INVERNO
63,alimentos_bebidas,PRIMAVERA
62,alimentos_bebidas,OUTONO
62,industria_comercio_e_negocios,VERAO
61,alimentos_bebidas,INVERNO
61,casa_conforto,VERAO
60,climatizacao,INVERNO
59,artes,INVERNO
57,bebidas,INVERNO
57,construcao_ferramentas_jardim,VERAO
56,moveis_cozinha_servico_jantar_jardim,PRIMAVERA
54,sinalizacao_e_seguranca,INVERNO
54,livros_tecnicos,VERAO
54,agro_industria_e_comercio,INVERNO
54,construcao_ferramentas_jardim,OUTONO
53,sinalizacao_e_seguranca,OUTONO
52,telefonia_fixa,INVERNO
51,fashion_calcados,PRIMAVERA
50,bebidas,PRIMAVERA
49,eletrodomesticos,PRIMAVERA
49,moveis_cozinha_servico_jantar_jardim,VERAO
49,eletrodomesticos_2,VERAO
49,pcs,PRIMAVERA
48,alimentos_bebidas,VERAO
46,construcao_ferramentas_seguranca,INVERNO
44,market_place,PRIMAVERA
43,fashion_roupa_masculina,INVERNO
41,fashion_calcados,VERAO
38,agro_industria_e_comercio,OUTONO
37,industria_comercio_e_negocios,INVERNO
37,alimentos,PRIMAVERA
37,artigos_de_natal,VERAO
37,artigos_de_natal,PRIMAVERA
36,portateis_casa_forno_e_cafe,INVERNO
36,fashion_underwear_e_moda_praia,VERAO
36,artes,VERAO
35,climatizacao,PRIMAVERA
35,construcao_ferramentas_ferramentas,OUTONO
35,construcao_ferramentas_jardim,PRIMAVERA
35,cine_foto,OUTONO
33,fashion_underwear_e_moda_praia,INVERNO
32,eletrodomesticos_2,PRIMAVERA
31,fashion_roupa_masculina,PRIMAVERA
31,portateis_casa_forno_e_cafe,OUTONO
31,artigos_de_natal,INVERNO
31,moveis_quarto,OUTONO
31,construcao_ferramentas_seguranca,PRIMAVERA
30,moveis_quarto,INVERNO
30,fashion_roupa_masculina,OUTONO
28,tablets_impressao_imagem,OUTONO
28,fashion_underwear_e_moda_praia,PRIMAVERA
27,construcao_ferramentas_seguranca,VERAO
27,tablets_impressao_imagem,VERAO
27,construcao_ferramentas_ferramentas,INVERNO
26,moveis_quarto,VERAO
26,dvds_blu_ray,OUTONO
26,pcs,OUTONO
25,agro_industria_e_comercio,PRIMAVERA
25,fashion_underwear_e_moda_praia,OUTONO
25,artigos_de_natal,OUTONO
24,livros_importados,OUTONO
23,sinalizacao_e_seguranca,VERAO
23,construcao_ferramentas_iluminacao,VERAO
22,industria_comercio_e_negocios,PRIMAVERA
22,construcao_ferramentas_ferramentas,VERAO
21,telefonia_fixa,PRIMAVERA
21,artes_e_artesanato,INVERNO
21,pcs,VERAO
20,cine_foto,INVERNO
19,fashion_roupa_masculina,VERAO
18,artigos_de_festas,INVERNO
18,moveis_colchao_e_estofado,VERAO
18,livros_tecnicos,PRIMAVERA
18,musica,OUTONO
17,livros_importados,INVERNO
15,dvds_blu_ray,INVERNO
14,fashion_roupa_feminina,INVERNO
14,fraldas_higiene,OUTONO
14,tablets_impressao_imagem,PRIMAVERA
13,fashion_esporte,OUTONO
13,sinalizacao_e_seguranca,PRIMAVERA
13,musica,INVERNO
13,construcao_ferramentas_ferramentas,PRIMAVERA
12,construcao_ferramentas_iluminacao,PRIMAVERA
12,portateis_cozinha_e_preparadores_de_alimentos,INVERNO
12,flores,VERAO
11,livros_importados,VERAO
11,fashion_roupa_feminina,OUTONO
11,fashion_roupa_feminina,VERAO
11,dvds_blu_ray,VERAO
10,moveis_colchao_e_estofado,PRIMAVERA
10,tablets_impressao_imagem,INVERNO
10,dvds_blu_ray,PRIMAVERA
9,cine_foto,VERAO
9,portateis_casa_forno_e_cafe,VERAO
8,flores,PRIMAVERA
8,artigos_de_festas,PRIMAVERA
8,moveis_quarto,PRIMAVERA
8,fraldas_higiene,INVERNO
7,artigos_de_festas,OUTONO
7,flores,OUTONO
7,artes,PRIMAVERA
7,livros_importados,PRIMAVERA
6,musica,VERAO
6,casa_conforto_2,VERAO
6,artigos_de_festas,VERAO
6,casa_conforto_2,PRIMAVERA
6,casa_conforto_2,INVERNO
6,casa_conforto_2,OUTONO
6,cds_dvds_musicais,INVERNO
6,la_cuisine,INVERNO
5,fashion_esporte,INVERNO
5,fashion_esporte,PRIMAVERA
5,moveis_colchao_e_estofado,INVERNO
5,cds_dvds_musicais,PRIMAVERA
5,moveis_colchao_e_estofado,OUTONO
4,fashion_roupa_infanto_juvenil,OUTONO
4,fashion_esporte,VERAO
4,fashion_roupa_feminina,PRIMAVERA
4,pc_gamer,OUTONO
4,la_cuisine,OUTONO
3,pc_gamer,INVERNO
3,artes_e_artesanato,OUTONO
3,fraldas_higiene,VERAO
2,fraldas_higiene,PRIMAVERA
2,fashion_roupa_infanto_juvenil,PRIMAVERA
2,portateis_cozinha_e_preparadores_de_alimentos,OUTONO
2,flores,INVERNO
2,la_cuisine,PRIMAVERA
2,cine_foto,PRIMAVERA
1,fashion_roupa_infanto_juvenil,VERAO
1,cds_dvds_musicais,OUTONO
1,musica,PRIMAVERA
1,la_cuisine,VERAO
1,seguros_e_servicos,VERAO
1,pc_gamer,VERAO
1,fashion_roupa_infanto_juvenil,INVERNO
1,seguros_e_servicos,INVERNO
