key,cod_produto,categoria_produto,date_from,date_to,version
0,"Sem codigo",indefinido,"1970-01-01 00:00:01","2038-01-01 00:00:00",1
1,01e25be2c25019945382e057a8292e72,cama_mesa_banho,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
2,01e66dc5bf4d5a186d856506a4f0fea2,esporte_lazer,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
3,01ea398598302b06869909ac5bfa5bcf,utilidades_domesticas,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
4,00066f42aeeb9f3007548bb9d3f33c38,perfumaria,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
5,00c407e056c74eb8040a1233ca6da16f,papelaria,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
6,00088930e925c41fd95ebfe695fd2655,automotivo,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
7,0009406fd7479715e4bef61dd91f2462,cama_mesa_banho,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
8,00c744ca2f3b0e76ce227b146095d3f9,brinquedos,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
9,01ea47d0dff23faa8d07ba3f353d2af0,automotivo,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
10,00c794371af4dc7c5b6ba3ef913556bb,telefonia_fixa,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
11,01ebdb7ca76a3c581c0d5229ed80be7c,ferramentas_jardim,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
12,01ece5f98b5fe510881404f92229a49f,cama_mesa_banho,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
13,000b8f95fcb9e0096488278317764d19,utilidades_domesticas,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
14,01ecf875ab885ebcae3dd2b1ccc4715f,eletronicos,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
15,00cc15e0cef551848c797ab75ba904b1,relogios_presentes,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
16,01ef0716b68c8493434ad32430c24e18,cama_mesa_banho,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
17,000d9be29b5207b54e86aa1b1ac54872,relogios_presentes,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
18,01f1608fbd6fc5b04308ff6157326e6d,telefonia,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
19,0011c512eb256aa0dbbb544d8dffcf6e,automotivo,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
20,01f2d77d8a63937c77c7128ce4bd2ada,automotivo,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
21,00126f27c813603687e6ce486d909d01,cool_stuff,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
22,01f3a99b81f49109d42540d84bcb8e07,esporte_lazer,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
23,001795ec6f1b187d37335e1c4704762e,consoles_games,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
24,01f76c07f91a533acd46cc6ab989be23,fashion_calcados,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
25,037c68f178aefdd7a880a951dedc04d1,brinquedos,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
26,01fc56750f0d3444c4a1746ecf19dee0,esporte_lazer,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
27,01fd8a430d3bea327b7c71e651391001,consoles_games,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
28,01ff1ff8aa5dec93e9938b989393a4ca,perfumaria,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
29,02032c15ca85744c99aa99583e824a90,papelaria,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
30,00cf06147ed4880ec5fbba2adbb20e1d,livros_interesse_geral,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
31,037f82112a937df3f1486fa81eb1f127,esporte_lazer,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
32,00d2add85b1f5aba6bb3d5d977314e25,casa_construcao,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
33,03826ede2cac52b3011b58cfd58c84f9,utilidades_domesticas,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
34,00d2fa6f2a87633084c8e0400d41a65a,cama_mesa_banho,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
35,001b237c0e9bb435f2e54071129237e9,cama_mesa_banho,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
36,00d363b8c14bb9a6c73febc4c42acf47,consoles_games,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
37,001b72dfd63e9833e8c02742adf472e3,moveis_decoracao,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
38,00d51a45854ebce28acda79f414388ee,utilidades_domesticas,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
39,0383c4d17410e421f6a8b905fb9adcbc,ferramentas_jardim,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
40,00d62b338366db4c4aec8547ea8f928e,NULL,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
41,02034d6c9c4814a08a3a0f5a6ad84332,informatica_acessorios,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
42,02044dc95cf33aaf55e03bde1b042539,informatica_acessorios,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
43,038467f26869173dd87434ae02199a40,utilidades_domesticas,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
44,02064a5bc5d3656476e9dab151c69989,automotivo,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
45,02090f97a28b3d10d19a09f045f6df34,relogios_presentes,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
46,020a80cb704bf65f38761fcedf2af192,automotivo,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
47,0388b93e2992639ef7de7b35b2ba91b2,fashion_bolsas_e_acessorios,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
48,0210b75f6f4de09dfc17a66803290f8a,bebidas,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
49,00d62d0388b0786d730a1aaed91c0ae0,moveis_decoracao,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
50,03894c9a40bf32b84a349ef0ddfccc1d,utilidades_domesticas,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
51,021426c19c264227de3c34e3f5e2f4ee,pet_shop,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
52,001c5d71ac6ad696d22315953758fa04,cama_mesa_banho,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
53,00d93a09990b319a7c946ed7a8c67656,moveis_decoracao,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
54,0214e4741dab5812bb31a61af1dc3de5,cama_mesa_banho,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
55,038967227fb1bc9b30d6e1c81fa2d2be,automotivo,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
56,00210e41887c2a8ef9f791ebc780cc36,beleza_saude,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
57,00dc8a1b2de45a7fca5921544e5f351d,informatica_acessorios,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
58,038c0dd7c1e48a1588f8919a0c305727,eletrodomesticos,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
59,021c41b063949bf529b79289c58e0a8b,pet_shop,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
60,002159fe700ed3521f46cfcf6e941c76,fashion_calcados,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
61,00ddaddbe03b7103d80daee96892363f,telefonia,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
62,021d39ee869e87d5288f4e731df4a90e,utilidades_domesticas,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
63,038e3a669bb495e56d9d609d874fb668,esporte_lazer,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
64,021f04378f9692f8747f926f38bb8281,ferramentas_jardim,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
65,0021a87d4997a48b6cef1665602be0f5,informatica_acessorios,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
66,022649cdc8ef07dddfa3de3409647e00,construcao_ferramentas_ferramentas,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
67,00250175f79f584c14ab5cecd80553cd,utilidades_domesticas,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
68,0226c9207aea0b16076a27ca65cb4929,perfumaria,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
69,02293621a345f7cddda16c5d9c7990e4,telefonia,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
70,002552c0663708129c0019cc97552d7d,cool_stuff,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
71,03940e741e919e2c258e177d875f8423,automotivo,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
72,022b0ef3922883f810bdff4d58e93115,automotivo,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
73,002959d7a0b0990fe2d69988affcbc80,moveis_decoracao,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
74,022ff42cced44a2b2cca57061cabb526,esporte_lazer,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
75,03973c594aba6474ba73ab090dcdc4e2,relogios_presentes,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
76,002af88741ba70c7b5cf4e4a0ad7ef85,cool_stuff,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
77,0233382eae30811d6dfffbbfb5de36d8,construcao_ferramentas_construcao,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
78,03973c875a4653e663aede2c46a957f6,automotivo,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
79,02335f37af17baf50a91273e4bdc8ef4,brinquedos,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
80,002c6dab60557c48cfd6c2222ef7fd76,brinquedos,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
81,0233dd6f06e23c705ab76dc3ab165837,cool_stuff,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
82,00de606a5dda99c2499f94ef18282977,automotivo,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
83,023473d9db1c319f2bcd010e043b2ba2,moveis_decoracao,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
84,039e946aff78252a2e83b8fa1adf837d,cool_stuff,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
85,00de7f393d962717eeeb2d7131a40dba,telefonia,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
86,02357c69f595e004b50ba115b3f88d63,cool_stuff,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
87,023a60ac6b3484afe23d788ce2444df0,cama_mesa_banho,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
88,00df6fc5f33cc3f7ceec4ec6337d9cd7,relogios_presentes,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
89,03a20f79e4c056b48ce29b3e30beb0fb,moveis_decoracao,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
90,023d0e2e8457861c3badfb5fa7bcd58a,telefonia,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
91,00e040fed5fb843e28740181ddca3521,telefonia,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
92,024063adde9af865418b7da3dd897b98,esporte_lazer,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
93,03a22dc9d5b99f07ca366f91aa7f7e4b,utilidades_domesticas,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
94,00e2784f846618842151d40ec730ece0,moveis_decoracao,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
95,0241aa4ed831b73fd4940ffd9cec20dc,eletrodomesticos_2,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
96,03a8d0921d804ba08d3da40064a4e281,utilidades_domesticas,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
97,024553ca83fc6e9ec93f5a9c823d1834,beleza_saude,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
98,00e32638060f6356e6f00749dc466b5c,esporte_lazer,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
99,02475368dfb38934fe55f574024fe1d7,relogios_presentes,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
100,03aad9707028422f38b0563410912177,cama_mesa_banho,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
101,00e41fb1706dc56cc3bbdd2c1d6df362,moveis_decoracao,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
102,025249b91a565601dc1b8f47ee7a230e,relogios_presentes,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
103,0254806b6c237bd1f21cae60ea8d1533,moveis_decoracao,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
104,00e437f5e55fc5a62e4ef2f84f41b5fb,moveis_decoracao,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
105,03ac940e93916395ea0483161cc84d5c,ferramentas_jardim,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
106,00e4ded51458037ecda216453eb79d3c,informatica_acessorios,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
107,03b10f5e3ef07cfc27a025adca3fd0be,esporte_lazer,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
108,002d4ea7c04739c130bb74d7e7cd1694,pet_shop,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
109,03b29ca1beec2e03e15a3b980c1505ed,perfumaria,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
110,002ec297b1b00fb9dde7ee6ac24b6771,utilidades_domesticas,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
111,03b58043df5d7424df7eac2be2511c51,cool_stuff,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
112,0030026a6ddb3b2d1d4bc225b4b4c4da,esporte_lazer,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
113,03b63c5fc16691530586ae020c345514,bebes,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
114,00e62bcf9337ca4c5d5b4c5c8188f8d2,beleza_saude,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
115,0030e635639c898b323826589761cf23,ferramentas_jardim,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
116,03ba2b6c24374d16022585b6b1b385e1,esporte_lazer,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
117,0254a096e569c4a89b6870e9d4a65c3c,papelaria,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
118,003128f981470c3e5a2e7445e4a771cd,esporte_lazer,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
119,0254d6e0da36c6f28720f89cde66819a,beleza_saude,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
120,0257013d9462b3b6e9892bdd10ebe14d,fashion_bolsas_e_acessorios,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
121,0259a8068ce1198d4370abb0d3c2e576,automotivo,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
122,00e928700d549c4173b1bf631ca30abf,esporte_lazer,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
123,0259ef48d9c5f59c3b31147c52db801d,utilidades_domesticas,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
124,00efb9a8ce0cf3b2f37892ab003edc10,esporte_lazer,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
125,03bb06cda40712fb8473f7962fb7d198,cama_mesa_banho,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
126,025dcf8f0a969c92d254bc425b380685,automotivo,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
127,0036bb031e69d915cd384d1b3838b5d3,ferramentas_jardim,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
128,00f179926ae5965cd6ff548d765d8a61,informatica_acessorios,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
129,025dd9fac2544d8e7e3451ec87bc6511,cama_mesa_banho,"1970-01-01 00:00:00","2038-01-01 00:00:00",1
