valorPedido,dimAvaliacao_key,dimLocalizacao_key,dimTempo_key_data,dimPagamento_key,dimProduto_key
72.19,1,1,56,1,8826
65.84,1,1,517,577,8651
153.07,1,1,527,585,30431
74.06,1,1,1143,1143,8104
66.82,1,1,6943,7046,24439
73.86,1,1,7212,7353,8826
117.85,1,1,7833,7650,26073
130.01,1,1,10111,10131,24439
130.01,1,1,10111,10131,24929
81.57,1,1,10153,10203,24929
64.17,1,1,14938,14823,8104
62.01,1,1,15208,15168,10763
84.57,1,1,21838,21707,24929
158.13,1,1,22084,21860,4669
351.28,1,1,23369,23006,3916
61.46,1,1,23399,23036,24929
156.61,1,1,24942,25021,11158
112.33,1,1,28577,28688,26073
111.93,1,1,29246,29423,26073
160.12,1,1,31531,31528,4669
61.01,1,1,34049,34140,27440
152.83,1,1,40126,40227,4669
156.09,1,1,40282,40398,6928
75.07,1,1,43017,42989,8826
61.46,1,1,43720,43889,24929
65.17,1,1,46008,45936,8104
149.65,1,1,47486,47419,18624
142.57,1,1,47891,47836,16267
142.57,1,1,47891,47836,28965
72.19,1,1,48109,48149,8826
260.56,1,1,48336,48325,24929
65.01,1,1,51696,51637,10763
138.74,1,1,53093,53108,30431
56.01,1,1,54273,54334,10763
143.93,1,1,54678,54692,10370
61.01,1,1,55286,55391,24439
68.02,1,1,58511,58480,24929
154.32,1,1,59538,59676,30431
82.83,1,1,61704,61705,8826
68.02,1,1,62642,62507,24929
63.82,1,1,62648,62754,24929
78.55,1,1,62831,62831,16267
166.71,1,1,62945,63018,7392
139.36,1,1,63586,63756,18786
123.02,1,1,63680,63774,24439
123.02,1,1,63680,63774,24929
93.11,1,1,64087,64162,8104
136.98,1,1,64862,64876,10370
81.57,1,1,66234,65807,24929
1432.89,1,1,67931,68011,10370
58.13,1,1,68088,68215,27440
307.11,1,1,68998,69056,12064
65.01,1,1,70185,69318,10763
65.51,1,1,70393,70505,10763
55.84,1,1,70789,70976,24929
158.13,1,1,71141,71211,4669
60.13,1,1,71864,71821,27440
103.4,1,1,72399,72407,8826
62.01,1,1,72721,72759,10763
68.38,1,1,73159,73137,16267
154.32,1,1,74182,74170,18624
61.01,1,1,74211,74178,24439
176.24,1,1,74283,74302,30431
153.75,1,1,77809,77809,8651
153.75,1,1,77809,77809,8826
79.17,1,1,79813,80023,3916
154.47,1,1,81347,81465,4669
62.01,1,1,81501,81610,24929
167.51,1,1,83424,83405,8651
167.51,1,1,83424,83405,16267
65.01,1,1,85461,85570,24929
85.14,1,1,85853,85941,3916
70.03,1,1,87903,87935,8104
63.46,1,1,92611,92552,10763
172.45,1,1,93472,93430,7392
63.01,1,1,95680,95879,27440
160.36,1,1,96060,96243,7392
147.23,1,1,96482,96506,18624
161.51,1,1,97517,97097,4669
57.17,1,2,5,62,28593
113.44,1,2,9,66,771
265.55,1,2,11,68,26222
93.62,1,2,17,74,17496
93.62,1,2,17,74,28804
64.85,1,2,51,100,10226
69.72,1,2,53,180,4750
222.91,1,2,65,105,18066
53.27,1,2,68,107,26807
15.57,1,2,75,112,32610
92.74,1,2,89,122,13375
143.92,1,2,91,123,12433
69.07,1,2,101,300,15600
133.75,1,2,104,131,5420
89.28,1,2,106,132,17611
45.1,1,2,107,303,32436
32.84,1,2,118,310,12289
33.97,1,2,119,311,31471
138.16,1,2,125,314,30090
221.07,1,2,128,141,31925
70.14,1,2,148,152,29043
81.98,1,2,150,153,16796
57.68,1,2,151,154,4115
21.39,1,2,152,155,17344
137.16,1,2,160,163,10687
190.81,1,2,164,166,31899
57.29,1,2,168,168,3301
162.85,1,2,169,169,1600
64,1,2,178,329,3320
227,1,2,179,330,17496
49.1,1,2,186,337,20757
42.09,1,2,213,418,5517
920.2,1,2,217,421,25913
23.28,1,2,231,429,27108
54.61,1,2,237,353,30085
70.83,1,2,240,436,21556
285.81,1,2,241,355,27544
37.09,1,2,255,450,1697
37.16,1,2,270,465,32125
76.87,1,2,271,466,26951
57.98,1,2,276,12,30923
30.6,1,2,297,33,4368
37,1,2,298,34,10644
70.55000000000001,1,2,306,36,8581
113.71,1,2,308,38,25285
80.67,1,2,311,360,11375
45.09,1,2,328,50,28933
33.18,1,2,332,53,10519
32.61,1,2,337,477,31074
419.39,1,2,338,56,8070
40.76,1,2,345,366,29921
70.88,1,2,357,188,10852
50.34,1,2,359,371,10706
35.85,1,2,360,372,20567
111.89,1,2,362,485,5400
100.88,1,2,364,190,30588
824.36,1,2,367,374,2806
286.09,1,2,374,194,4580
58.61,1,2,381,378,19361
93.85,1,2,389,381,16432
219.12,1,2,399,385,17112
108.86,1,2,406,386,22988
94.66,1,2,414,207,30295
56.12,1,2,419,391,1800
23.78,1,2,431,508,16763
31.22,1,2,436,510,18693
45.09,1,2,440,216,2946
168.27,1,2,444,513,28400
22.78,1,2,453,522,19655
265.77,1,2,457,526,25312
147.64,1,2,465,534,12433
60.85,1,2,467,536,14102
146.57,1,2,468,537,10812
95.02,1,2,474,543,22087
53.68,1,2,485,554,3301
69.24,1,2,488,557,7136
109.4,1,2,518,578,14326
267.93,1,2,529,587,28542
114.84,1,2,533,591,18847
66.11,1,2,560,613,31498
35.36,1,2,581,239,12997
90.73,1,2,588,246,3919
51.75,1,2,589,247,25549
122.87,1,2,590,248,30220
67.58,1,2,595,253,27841
50.59,1,2,598,256,23790
65.31,1,2,605,263,8676
56.5,1,2,606,264,12076
39.09,1,2,607,265,10110
84.69,1,2,610,268,6911
469.39,1,2,623,276,14691
194.97,1,2,636,637,18248
114.79,1,2,637,744,18002
39.39,1,2,644,283,22634
87.62,1,2,648,748,19278
125.52,1,2,652,644,29189
51.63,1,2,668,753,12076
277.24,1,2,676,655,4910
61.01,1,2,680,861,30085
128.89,1,2,693,762,1074
48.62,1,2,699,764,25549
31.7,1,2,720,668,8522
85.81,1,2,724,879,29494
397.76,1,2,726,881,10076
26.29,1,2,731,772,28373
70.02,1,2,732,884,28919
257.43,1,2,743,674,27458
101.96,1,2,748,889,30541
42.03,1,2,754,891,23112
24.68,1,2,759,679,14721
300.99,1,2,760,680,30497
172.14,1,2,762,895,16477
27.77,1,2,769,682,11820
59.83,1,2,775,900,765
38.28,1,2,778,901,22196
579.35,1,2,782,788,22139
43.11,1,2,783,903,26447
232.96,1,2,794,791,20634
33,1,2,802,693,11329
20.55,1,2,804,912,20241
77.53,1,2,806,794,18765
202.34,1,2,807,913,31560
77.85,1,2,809,914,1988
297.12,1,2,819,968,25252
34.64,1,2,828,920,29664
61.72,1,2,829,971,27672
47.71,1,2,845,926,9991
26.68,1,2,856,931,3677
23.38,1,2,860,975,9300
459.81,1,2,864,804,23121
40.09,1,2,872,806,14744
66.59,1,2,874,937,17258
27.07,1,2,877,978,4818
49.63,1,2,880,808,4723
82.45,1,2,884,981,12282
111.89,1,2,891,984,25285
41.09,1,2,897,987,9816
120.82,1,2,902,818,26951
52.39,1,2,906,820,6097
50.22,1,2,915,996,6275
86.02,1,2,919,826,10401
118.23,1,2,921,827,18847
132.03,1,2,922,1000,4823
648.77,1,2,924,828,22454
3798.75,1,2,925,1001,19831
201.04,1,2,934,720,25841
231.27,1,2,937,1005,31069
96.12,1,2,938,721,28146
40.28,1,2,941,1006,19496
163.65,1,2,947,834,2642
67.83,1,2,950,724,21556
64.09,1,2,961,727,32926
91.99,1,2,966,951,24803
51.84,1,2,971,953,16320
305.01,1,2,973,954,15388
163.78,1,2,974,729,1969
2784.16,1,2,980,956,20772
61,1,2,981,731,25549
43.1,1,2,991,1023,3449
81.63,1,2,998,961,7683
318.36,1,2,1003,837,10272
318.36,1,2,1003,837,13970
318.36,1,2,1003,837,15466
116.85,1,2,1004,1028,15218
48.08,1,2,1012,1032,10706
207.65,1,2,1018,963,32336
36.84,1,2,1019,1035,17528
86.15,1,2,1021,964,10119
352.32,1,2,1022,1036,22087
19.64,1,2,1025,845,21804
84.14,1,2,1026,965,2497
54.29,1,2,1027,846,6729
59.24,1,2,1051,1051,6379
339.77,1,2,1063,1063,16499
469.52,1,2,1075,1089,8525
87.58,1,2,1076,1090,9090
93.28,1,2,1077,1068,604
93.28,1,2,1077,1068,20407
221.16,1,2,1083,1073,1440
221.16,1,2,1083,1073,19962
144.5,1,2,1093,1097,11617
190.96,1,2,1095,1078,30760
43.22,1,2,1096,1099,892
51.69,1,2,1097,1079,27210
143.48,1,2,1108,1108,12433
56.39,1,2,1120,1120,3036
231.74,1,2,1125,1125,8049
148.19,1,2,1132,1132,18958
34.68,1,2,1133,1133,24884
68.45,1,2,1134,1134,18527
718.95,1,2,1148,1148,13944
42.78,1,2,1165,1165,32687
54.09,1,2,1173,1173,19614
37.38,1,2,1190,1317,27946
69.14,1,2,1193,1319,21556
132.9,1,2,1223,1339,15986
248.52,1,2,1224,1194,6524
199.28,1,2,1234,1348,8972
76.39,1,2,1235,1349,27838
77.78,1,2,1237,1351,9721
70.49,1,2,1240,1354,8813
131.24,1,2,1241,1355,14314
169.37,1,2,1246,1360,15127
241,1,2,1247,1361,21412
118.43,1,2,1255,1369,31609
63.78,1,2,1263,71527,29786
107.46,1,2,1270,1384,16817
111.89,1,2,1271,1385,5400
136.07,1,2,1281,1395,12433
155.74,1,2,1282,1396,11617
87.64,1,2,1283,1397,20482
129.87,1,2,1286,1400,1052
92.3,1,2,1298,1412,21556
93.97,1,2,1317,1431,12046
300.56,1,2,1329,1443,13623
253.13,1,2,1344,1458,14125
32.69,1,2,1349,1463,31698
143.02,1,2,1351,1465,22992
291.59,1,2,1355,1469,21070
68.64,1,2,1357,1471,3049
158.38,1,2,1378,1486,31800
50.09,1,2,1380,1202,17437
141.89,1,2,1382,1203,19067
210.48,1,2,1385,1204,26829
166.55,1,2,1389,1205,15412
57.53,1,2,1392,1495,25549
35.11,1,2,1393,1496,11332
45.95,1,2,1395,1538,24818
44.9,1,2,1406,1503,16552
818.12,1,2,1409,1541,13310
102.83,1,2,1416,1508,9968
55.78,1,2,1417,1509,21486
195.32,1,2,1452,1555,23121
98.98,1,2,1466,1533,32831
57.23,1,2,1473,1535,26118
249.49,1,2,1482,1665,25543
89.96,1,2,1487,1667,22087
78.64,1,2,1488,1562,26951
62.91,1,2,1507,1224,20412
79.63,1,2,1510,1225,20950
59.35,1,2,1517,1226,18560
69.9,1,2,1519,1571,22087
216.06,1,2,1526,1573,28872
47.78,1,2,1538,1691,1251
358.68,1,2,1551,1580,27106
208.2,1,2,1570,1240,5400
208.2,1,2,1570,1240,6668
674.83,1,2,1572,1586,2189
